Epoch,Train Loss,Val Loss,Train MAE,Val MAE,Best
1,0.0022704742159238896,3.691211012909018e-05,823.8722594564291,141.39020216780168,Yes
2,5.968300346981066e-05,1.552771010853864e-05,36.079529976251834,72.82604702820488,Yes
3,2.9272315647255668e-05,9.842931820280572e-06,25.914937647225003,52.61970670708972,Yes
4,2.0276403278251603e-05,7.643678295275227e-06,19.21008170253757,38.204951356024615,Yes
5,3.0117699826286812e-05,6.6517544554721455e-06,19.694884478247666,24.451129587034046,Yes
6,1.3466292304418976e-05,6.4737048502338e-06,15.330117062226968,31.96298049286031,No
7,1.6750498270598854e-05,6.17707661792626e-06,16.177353664251193,24.37212635236061,Yes
8,1.837446324632607e-05,6.05442690956385e-06,16.347297228500146,21.886852365259436,Yes
9,2.159156095766103e-05,6.009727073666088e-06,15.76386423832929,21.233742531499075,Yes
10,1.828444032684195e-05,5.99043501762669e-06,16.048982543611697,20.797711421319892,Yes
11,2.4472103207343658e-05,5.697639609501849e-06,20.23163479838615,18.441250149977524,Yes
12,1.6815802403312852e-05,5.581364134963135e-06,24.550532947507964,19.467568256621412,No
13,1.5810461536602816e-05,5.452287379695208e-06,22.348225800252802,16.79486202637478,Yes
14,1.740445506841396e-05,5.411694535227314e-06,21.196270521757675,17.327455274424693,No
15,1.9796837877156974e-05,5.355566524413672e-06,24.44239997707387,16.148610187726295,Yes
16,2.9132926270785504e-05,5.312350556503744e-06,18.820246051914477,13.529122727840535,Yes
17,2.1939108452660668e-05,5.2785471215257505e-06,17.634352811994237,11.885042976628567,Yes
18,2.0694837212925884e-05,5.275778062484067e-06,16.40473454869748,12.934232068098908,No
19,2.3343379304269942e-05,5.256048568088129e-06,23.401921011900505,12.999444169538387,No
20,1.4236040744495055e-05,5.232535885945376e-06,17.415532952679023,11.554180216455533,Yes
21,1.4693241949158697e-05,5.214755802805163e-06,14.052497215302273,10.581433564656258,Yes
22,1.7885047315718586e-05,5.215348372050867e-06,15.904611008386855,12.584847297490477,No
23,1.948431277706613e-05,5.21707092624771e-06,17.593685353444098,13.67302387646902,No
24,1.6086038151471533e-05,5.199943837080754e-06,16.649139992296124,10.25886163667053,Yes
25,2.2765562119314816e-05,5.194502455751495e-06,14.809726611875256,11.901854477996588,No
26,1.2574420916082644e-05,5.238863256009586e-06,14.879916357648733,17.025718819483256,No
27,2.6263860021295525e-05,5.2154039992285285e-06,16.292139842035212,14.435459623440613,No
28,2.3101658898568808e-05,5.186995298275888e-06,14.450434440535645,9.956987389880428,Yes
29,1.6392887050148167e-05,5.19514251108814e-06,12.0142527306852,11.872417544873654,No
30,1.58669714744025e-05,5.190153351910206e-06,11.460633550259741,11.144987999187844,No
31,1.854686303105431e-05,5.652711068960787e-06,26.189055166273178,43.19232135019258,No
32,1.838544413440895e-05,5.214911175452161e-06,31.15069370733711,16.716765621772634,No
33,2.232836349934508e-05,5.569194585649068e-06,32.78402111953189,40.454822095334066,No
34,1.9057690081294626e-05,5.144914938136381e-06,31.40303638809592,9.464933356823483,Yes
35,1.5154795962841845e-05,5.149195353291495e-06,26.679554286893193,11.659349972500957,No
36,1.334388129397785e-05,5.4761042918016756e-06,27.799426166110106,37.23571817685805,No
37,2.2814346875846872e-05,5.1447500105959216e-06,22.878800047326852,11.07753417280562,No
38,1.6763202998133594e-05,5.173911367632361e-06,26.5677573638524,13.034235365468644,No
39,1.314560452052003e-05,5.331473299220972e-06,22.49198044502986,28.380310224708094,No
40,1.4425539973711674e-05,5.133512133062229e-06,24.245450670649426,8.67317093512504,Yes
41,1.6666971990893533e-05,5.354760641400234e-06,22.114463207727574,30.836146993918884,No
42,1.5320719645565672e-05,5.133881158631139e-06,19.71368772679256,9.64649462662811,No
43,2.3091312517981745e-05,5.119828394128945e-06,24.779140000136117,9.839344487405306,No
44,1.9822507982533588e-05,5.245927897520942e-06,28.391455259112004,22.004602126719234,No
45,2.0254493065492525e-05,5.225681484844466e-06,33.57398180298285,20.414862981294956,No
46,1.3063494387334567e-05,5.225677746003251e-06,18.600184922011117,20.436436785138785,No
47,1.3427200588506346e-05,5.239252146100448e-06,19.113806053926854,20.641192019449235,No
48,1.776050432315811e-05,5.1258384221164195e-06,24.252859106738896,9.108691747970937,No
49,1.4017455064573448e-05,5.146902392370088e-06,17.53118395016929,14.129012106365957,No
50,1.7548029635018674e-05,5.254325502300517e-06,14.95599092085787,24.27176365474149,No
51,1.5212091822199315e-05,5.160683954841261e-06,22.30569668603289,15.186627917489961,No
52,2.5422832285308372e-05,5.333230021165036e-06,22.870825347108052,29.000248020581473,No
53,1.775794248467956e-05,5.508584588064545e-06,17.572727141858582,40.89847238401232,No
54,1.5354499382046134e-05,5.173433222109186e-06,15.830801180589065,15.795636237872703,No
