Epoch,Train Loss,Val Loss,Train MAE,Val MAE,Max Grad Norm,Learning Rate,Best
1,0.0022248867430973572,7.3492840823272e-06,80.76119364754098,63.71894409937888,0.18097597360610962,4.9562952014676115e-06,Yes
2,6.717148292911509e-06,7.204004268375983e-06,81.14378415300547,63.71894409937888,0.00016068039985839278,4.827090915285202e-06,Yes
3,8.136366336234932e-06,7.13974662611018e-06,83.89545765027323,63.71894409937888,0.00010681524145184085,4.618033988749896e-06,Yes
4,7.3057548473767245e-06,7.094904311834285e-06,82.22789446721312,63.71894409937888,5.756254176958464e-05,4.338261212717717e-06,Yes
5,8.102072799792055e-06,7.06416271303011e-06,83.83862704918033,63.71894409937888,4.835243817069568e-05,4.000000000000001e-06,Yes
6,7.529517564454366e-06,7.042741570737421e-06,82.74775443989071,63.71894409937888,2.9624265152961016e-05,3.618033988749895e-06,Yes
7,7.542522491815963e-06,7.028478886122289e-06,83.58439207650274,63.71894409937888,4.9508562369737774e-05,3.209056926535307e-06,Yes
8,7.222536849519594e-06,7.01883449132398e-06,82.59247780054645,63.71894409937888,2.3716676878393628e-05,2.790943073464694e-06,Yes
9,6.822898698960497e-06,7.01226317179129e-06,81.55501195355191,63.71894409937888,4.022704888484441e-05,2.3819660112501054e-06,Yes
10,8.088974231253556e-06,7.0074301282441395e-06,83.49089822404372,63.71894409937888,3.784691944019869e-05,2.0000000000000003e-06,Yes
11,7.588383767122779e-06,7.00428185301908e-06,83.62783469945356,63.71894409937888,1.3873180250811856e-05,1.6617387872822842e-06,Yes
1,0.0009183280454958723,7.2289699318338625e-06,82.3192793715847,63.71894409937888,0.1459827721118927,4.9562952014676115e-06,Yes
