Epoch,Training Loss,Validation Loss,Aux train loss,Aux val loss,Train MAE,Validation MAE,Best Epoch
1,10.187334060668945,3.941643714904785,6.076079368591309,2.4153902530670166,77.98106552336704,44.39736829315708,Yes
2,8.657812118530273,3.7638750076293945,5.22475004196167,2.2901201248168945,44.97813610276032,33.29083033631415,Yes
3,8.765413284301758,3.7370266914367676,5.305097579956055,2.249959707260132,43.94225283547417,28.055507630248833,Yes
4,8.377092361450195,3.7412962913513184,5.079815864562988,2.2426540851593018,39.330012469253894,31.757718336897355,No
5,7.83403205871582,3.743772029876709,4.722034931182861,2.2349741458892822,33.856372984421974,48.61526778771384,No
6,8.212522506713867,3.6484477519989014,4.947273254394531,2.200352668762207,34.833268567231485,41.535235225505446,No
7,7.748877048492432,3.6355905532836914,4.710478782653809,2.1764166355133057,33.037787817709756,37.710162932542765,No
8,7.403407573699951,3.4955224990844727,4.455489158630371,2.110949754714966,28.950887366766874,29.896283898716952,No
9,7.1104936599731445,3.408553123474121,4.269425392150879,2.0755319595336914,30.656668488658102,21.844585317846033,Yes
10,6.908883571624756,3.3200793266296387,4.179731369018555,2.0486533641815186,29.47404302746652,32.12075354782271,No
11,6.525345802307129,3.282480239868164,3.9586081504821777,1.9941742420196533,28.078171973216726,33.35028370431571,No
12,7.141572952270508,3.239647150039673,4.359355926513672,1.9580044746398926,27.7601910528833,36.703167525272164,No
13,6.9277801513671875,3.2588062286376953,4.197925090789795,1.9961321353912354,28.069808605493304,34.756870868973564,No
14,5.85737943649292,3.3158397674560547,3.586174488067627,1.962523341178894,26.15647205520634,31.581596884720064,No
15,6.489160537719727,3.1324501037597656,3.9391095638275146,1.898486614227295,27.39313593194862,23.19511657999611,No
16,5.9764485359191895,3.133673906326294,3.6426234245300293,1.8866970539093018,23.603076318666304,23.472297822706064,No
17,6.902878284454346,3.082629680633545,4.21414852142334,1.8698840141296387,23.691548237223284,26.509923576010888,No
18,6.3018670082092285,3.1420702934265137,3.8310253620147705,1.883314847946167,23.08576882344903,26.576250850505442,No
19,5.957500457763672,3.039787530899048,3.6055755615234375,1.868208646774292,21.2755278081443,27.893243341757387,No
20,6.806804656982422,3.007145404815674,4.150823593139648,1.8350226879119873,25.21494303429899,30.399072341562984,No
21,6.247406482696533,3.0268120765686035,3.798121213912964,1.8270858526229858,25.129065318393003,23.365158437013996,No
22,5.656648635864258,3.04697847366333,3.4332120418548584,1.8394672870635986,20.814855066274937,34.82742637052877,No
23,5.745488166809082,2.9841368198394775,3.4755454063415527,1.7967106103897095,24.824973524186937,23.67266627381415,No
24,5.876911163330078,2.9767274856567383,3.55776309967041,1.8017258644104004,20.264630021863898,19.960765880151634,Yes
25,5.779995918273926,2.9163942337036133,3.512345314025879,1.76499342918396,21.792653815933313,20.036349995139968,No
26,5.65220308303833,2.9313862323760986,3.420976161956787,1.7692384719848633,21.379761376059033,30.087410696928462,No
27,5.666479110717773,2.9038383960723877,3.4292702674865723,1.7784329652786255,21.56769054044821,19.479434474630636,Yes
28,5.868062496185303,2.967618465423584,3.5703396797180176,1.806414246559143,19.09704239546324,25.679526511469675,No
29,5.887006759643555,2.8923680782318115,3.5778238773345947,1.7494920492172241,20.292600437277944,18.926217134039657,Yes
30,5.2240424156188965,2.86948823928833,3.168384075164795,1.7512152194976807,19.597913535118884,27.603451837091757,No
31,5.323387145996094,2.8392035961151123,3.209721565246582,1.7294516563415527,20.251383574747198,20.51096240765941,No
32,5.6036200523376465,2.87778902053833,3.4056482315063477,1.746646523475647,18.952484456135558,18.214696430307153,Yes
33,5.818799018859863,2.8443336486816406,3.538719415664673,1.7208795547485352,21.42771462489751,25.693626676710732,No
