Epoch,Training Loss,Validation Loss,Aux train loss,Aux val loss,Train MAE,Validation MAE,Best Epoch
1,10.124456405639648,3.9192445278167725,6.010891437530518,2.3355374336242676,70.87265560945613,45.26178557542768,Yes
2,8.51292896270752,3.737360954284668,5.13392448425293,2.2476940155029297,40.80787527329871,30.546446709758943,Yes
3,8.58543872833252,3.759181499481201,5.160501480102539,2.2723402976989746,36.00277996037168,37.06093567748834,No
4,8.309002876281738,3.6648032665252686,5.00279426574707,2.21405029296875,37.163500956545505,27.415894124222394,Yes
5,7.712832927703857,3.6362967491149902,4.6218791007995605,2.202871799468994,32.138878450396284,27.87621197025661,No
6,8.094943046569824,3.6065239906311035,4.862686634063721,2.163548707962036,32.531164594151406,38.12227838258165,No
7,7.6024909019470215,3.674506187438965,4.568920135498047,2.177111864089966,29.515654892047007,35.804590299377914,No
8,7.279623508453369,3.5186524391174316,4.379554748535156,2.117417812347412,29.252100983875376,35.745695834953345,No
9,6.920443534851074,3.415789842605591,4.193430423736572,2.0588583946228027,32.31504082399563,34.25853239210731,No
10,6.847989559173584,3.398925304412842,4.133569240570068,2.032961130142212,32.17927968707297,25.81373323289269,Yes
11,6.432233810424805,3.290501594543457,3.878365993499756,1.9867817163467407,27.639177370866356,21.744242381901245,Yes
12,7.061639785766602,3.3367919921875,4.2908935546875,2.0000736713409424,26.128990588275485,42.65281760303266,No
13,6.935403823852539,3.211190938949585,4.199714183807373,1.9289785623550415,27.100973199644713,25.608087091757387,No
14,5.714365005493164,3.196887969970703,3.462918281555176,1.8975640535354614,22.675795128450396,31.098002527216174,No
15,6.354006767272949,3.1876373291015625,3.846750259399414,1.9181617498397827,25.95929130226838,29.680009477060654,No
16,5.867793083190918,3.1156165599823,3.5779809951782227,1.893661379814148,21.743028747608637,20.23023334224339,Yes
17,6.958585739135742,3.1916775703430176,4.213345050811768,1.9586864709854126,26.11964932358568,25.579747035381025,No
18,6.2693328857421875,3.1811814308166504,3.789097785949707,1.9669795036315918,24.711304745148947,28.081041018662518,No
19,5.861987113952637,3.0335631370544434,3.5821614265441895,1.8366162776947021,21.636666438917736,18.357543375777606,Yes
20,6.755842208862305,3.145474433898926,4.100098609924316,1.883612036705017,23.754554266876195,35.299223002527214,No
21,6.136890888214111,3.017974853515625,3.7201144695281982,1.8327491283416748,24.079724224514894,26.023540775660965,No
22,5.598597526550293,3.113245964050293,3.3972651958465576,1.83722984790802,20.02333928327412,30.535186625194402,No
23,5.629720211029053,2.9872255325317383,3.4106192588806152,1.8065584897994995,21.192444998633505,21.89666055112753,No
24,5.8026323318481445,2.991245746612549,3.520840644836426,1.8153109550476074,18.586663449713036,24.61989392982115,No
25,5.684841156005859,2.9993655681610107,3.4563162326812744,1.7910161018371582,20.324529413774254,25.747506196539657,No
26,5.571868896484375,2.9804296493530273,3.379305839538574,1.7929855585098267,20.674008011068597,20.44896207960731,No
27,5.579962730407715,2.949901580810547,3.386584520339966,1.7677648067474365,21.058735737223284,22.875698629471227,No
28,5.832460403442383,2.940417766571045,3.533484935760498,1.7734493017196655,19.73868799535392,25.671039682153967,No
29,5.94416618347168,2.950590133666992,3.572922945022583,1.769970178604126,21.468384889997267,19.49925580773717,No
30,5.159399032592773,2.875920295715332,3.12082576751709,1.7410016059875488,18.137605903252254,24.338607479587868,No
31,5.1792893409729,3.0052199363708496,3.137639045715332,1.8010029792785645,19.463525297212353,38.23415933611975,No
32,5.668353080749512,3.048647880554199,3.446162700653076,1.8325194120407104,21.56936235993441,42.36216344284603,No
33,5.7671799659729,2.8845701217651367,3.511187791824341,1.748302698135376,19.6789380636786,21.864432469867808,No
34,5.436115741729736,2.8859846591949463,3.2953498363494873,1.7426350116729736,20.767136683520086,17.536225456842924,Yes
35,5.514026641845703,2.9353585243225098,3.348508834838867,1.7616431713104248,19.808562790379884,24.067182336216952,No
36,5.385345458984375,2.892632484436035,3.2631592750549316,1.7390236854553223,21.76506986198415,20.331400964716174,No
37,5.63001823425293,3.0857415199279785,3.4133338928222656,1.8178033828735352,18.438443734626947,41.798715736780714,No
38,5.69256591796875,2.856855630874634,3.446274757385254,1.6939741373062134,19.604103323995627,23.116826035186627,No
39,5.1253509521484375,2.879791736602783,3.1237359046936035,1.7370383739471436,16.69847038125171,22.30881548891913,No
40,5.672782897949219,2.841474771499634,3.4255285263061523,1.7115610837936401,19.079510709893412,23.11202219819207,No
41,5.425498962402344,2.8694238662719727,3.2885680198669434,1.7101597785949707,17.064452591213445,16.85355207523328,Yes
42,5.066535472869873,2.9072623252868652,3.0599870681762695,1.757155418395996,17.014747454905713,22.29887065027216,No
43,5.33692741394043,2.968935966491699,3.237515926361084,1.7803468704223633,16.3453641705384,25.583419396384137,No
44,5.460394859313965,3.076179027557373,3.3206353187561035,1.7780885696411133,17.55933464573654,21.896125947706064,No
45,4.89299201965332,2.8947815895080566,2.969184398651123,1.737823247909546,18.605629953539218,19.50073963598367,No
46,5.4625468254089355,2.9601051807403564,3.329253911972046,1.7919071912765503,18.35184647444657,20.07424456891524,No
47,5.1799421310424805,2.930176258087158,3.132711887359619,1.749375343322754,18.234093160699643,32.098193890940905,No
48,6.053593635559082,2.854030132293701,3.03226375579834,1.7143425941467285,19.067489836704016,26.385862169517885,No
49,4.801006317138672,2.7973639965057373,2.9333150386810303,1.696061611175537,17.729169513528287,24.042162288588646,No
50,5.482213973999023,2.7982611656188965,3.3307347297668457,1.6968319416046143,16.44872446365127,16.758676674280714,Yes
