Epoch,Training Loss,Validation Loss,Aux train loss,Aux val loss,Train MAE,Validation MAE,Best Epoch
1,10.760289192199707,4.121079444885254,6.0989909172058105,2.4649546146392822,86.82375649084449,57.103336411353034,Yes
2,9.499223709106445,4.093929767608643,5.679798126220703,2.452746868133545,62.72673117655097,50.30414074650078,Yes
3,9.684316635131836,4.02272891998291,5.800971508026123,2.423243999481201,59.149263801585136,47.38731410381026,Yes
4,9.458847045898438,4.023960113525391,5.670353889465332,2.4163639545440674,58.26858431265373,45.79781055598756,Yes
5,8.922988891601562,3.9817683696746826,5.354059219360352,2.3918204307556152,53.76378450396283,42.66435410186625,Yes
6,9.30665397644043,3.9532876014709473,5.586583137512207,2.394861936569214,52.663970688712766,39.83911474533437,Yes
7,8.996944427490234,4.035632133483887,5.397838115692139,2.4258782863616943,51.67398879475267,58.96156930404354,No
8,8.703092575073242,3.8853440284729004,5.238378524780273,2.327421188354492,47.97907983738727,43.737916747667185,No
9,8.384126663208008,3.8756275177001953,5.036634922027588,2.3211236000061035,44.976137605903254,36.74070519051322,Yes
10,8.407696723937988,3.8731610774993896,5.0569000244140625,2.317737102508545,45.36415345722875,47.71143565318818,No
11,8.135188102722168,3.8637797832489014,4.884339332580566,2.308978319168091,41.684728580213175,40.13177670587092,No
12,8.985034942626953,3.8302881717681885,5.391605854034424,2.289761543273926,44.031429352282046,37.065479806570764,No
13,8.865894317626953,3.7969813346862793,5.329634666442871,2.273642063140869,43.86206101393824,35.19622375583204,Yes
14,7.673417091369629,3.7746095657348633,4.607701778411865,2.259352207183838,40.93786724514895,35.77893541018663,No
15,8.30862045288086,3.7590041160583496,5.009695053100586,2.2662887573242188,37.492851530472805,33.423035332426124,Yes
16,7.993226051330566,3.7912235260009766,4.801405906677246,2.2747700214385986,38.85710320442744,36.60010752818818,No
17,8.985469818115234,3.803367853164673,5.415383338928223,2.2766270637512207,41.45034076933588,39.49588416115863,No
18,8.46638298034668,3.74992036819458,5.081857681274414,2.254711151123047,41.17213975813063,35.11120966174183,No
19,8.009800910949707,3.7643935680389404,4.82779598236084,2.2662460803985596,38.985109490297894,32.66038710147745,Yes
20,9.01685905456543,3.7329018115997314,5.461492538452148,2.2496578693389893,38.991425252801314,32.078680866057546,Yes
21,8.418234825134277,3.687730550765991,5.077253818511963,2.2343974113464355,37.2048971713583,37.3470426710731,No
22,7.818830966949463,3.762437582015991,4.696150779724121,2.2675650119781494,36.943726086362396,32.65560908339813,No
23,7.8921356201171875,3.67653751373291,4.760230541229248,2.2143478393554688,37.827633916370594,31.757192846034215,Yes
24,8.002227783203125,3.716432571411133,4.839444160461426,2.238640785217285,33.514721833151135,28.321670271189735,Yes
25,8.02517318725586,3.6534037590026855,4.871031761169434,2.2192091941833496,36.72878091691719,28.90939079510109,No
26,7.788789749145508,3.6426661014556885,4.7066168785095215,2.201303005218506,33.544278662202785,31.357874465396577,No
27,7.9583234786987305,3.642645835876465,4.815435409545898,2.189784526824951,35.98757771932222,28.839178533242613,No
28,8.10847282409668,3.6353960037231445,4.8985466957092285,2.1985175609588623,33.58721645258267,32.31741470645412,No
29,8.047333717346191,3.6136348247528076,4.869877815246582,2.175532102584839,33.76789679557256,27.161918011275272,Yes
30,7.314465045928955,3.6336419582366943,4.423126220703125,2.186657428741455,32.51020813405302,37.22682980171073,No
