Epoch,Training Loss,Validation Loss,Aux train loss,Aux val loss,Train MAE,Validation MAE,Best Epoch
1,10.127863883972168,4.131738662719727,6.110607147216797,2.472379207611084,78.16693427165892,51.14741689346812,Yes
2,9.41519546508789,4.086745738983154,5.663170337677002,2.458470582962036,57.746519711669855,46.319978372861584,Yes
3,9.723316192626953,4.109334468841553,5.832038879394531,2.4709949493408203,60.45104536758677,54.6699066874028,No
4,9.540377616882324,4.109128475189209,5.733469009399414,2.465426445007324,64.4613538535119,57.61778285381026,No
5,9.064945220947266,4.038968563079834,5.437633991241455,2.4194185733795166,62.208236540038264,51.33450986586314,No
6,9.522970199584961,4.012969970703125,5.692713737487793,2.406217336654663,60.78838565864991,43.34838525466563,Yes
7,9.166382789611816,3.9831297397613525,5.505035400390625,2.3955304622650146,57.858512400929214,48.002764142690516,No
8,8.879324913024902,4.021927833557129,5.3319525718688965,2.4314093589782715,53.07445681880295,54.397356143079314,No
9,8.768510818481445,3.948402166366577,5.249767303466797,2.3694822788238525,58.30492450122984,45.05562001846812,No
10,8.746196746826172,4.008584499359131,5.241159439086914,2.4289278984069824,55.044680069691175,48.4503244070762,No
11,8.455408096313477,3.9547054767608643,5.079646587371826,2.3966236114501953,50.36473421699918,44.11506123639191,No
12,9.318022727966309,3.956984519958496,5.6102824211120605,2.370441436767578,51.79068734626947,42.481373930793154,Yes
13,9.310073852539062,3.8926315307617188,5.581014156341553,2.3408703804016113,53.99538381388358,42.28194255443235,Yes
14,8.038259506225586,3.908210039138794,4.821457386016846,2.343231678009033,49.01037254031156,41.3208957037325,Yes
15,8.66256046295166,3.8879165649414062,5.202114105224609,2.339966058731079,47.697774323585676,43.5462917962675,No
16,8.413337707519531,3.8811697959899902,5.049045085906982,2.338876485824585,47.57101496310467,44.33573702371695,No
17,9.441396713256836,3.8559317588806152,5.6591010093688965,2.312947988510132,48.820562312107135,37.7835888899689,Yes
18,8.81087875366211,3.898287773132324,5.288344860076904,2.3508224487304688,47.50849788193496,49.03705469965008,No
19,8.389432907104492,3.883366346359253,5.0304765701293945,2.3245697021484375,45.918262332604534,39.06040714910576,No
20,9.71973991394043,3.899890661239624,5.859465599060059,2.345794677734375,54.434626093194865,42.00297069401244,No
21,8.91563892364502,3.803575277328491,5.380417823791504,2.293592929840088,49.03080588958732,38.272751020606535,No
22,8.232998847961426,3.8263912200927734,4.95528507232666,2.2969260215759277,44.63676038535119,40.59439395412131,No
23,8.372591018676758,3.831176519393921,5.027938365936279,2.294790744781494,45.21766534572288,41.41022915046656,No
24,8.565489768981934,3.836733818054199,5.154566764831543,2.2997264862060547,44.47491203197595,37.37683466174183,Yes
25,8.548221588134766,3.798353672027588,5.135254859924316,2.2913479804992676,46.26439515578027,38.59661741835148,No
26,8.28217887878418,3.7829349040985107,4.971278190612793,2.278931140899658,44.37580281497677,37.79811734545101,No
27,8.487102508544922,3.7926583290100098,5.096403121948242,2.291551113128662,44.44837216452583,36.84509258359253,Yes
28,8.679763793945312,3.7871739864349365,5.235682964324951,2.275564670562744,43.943568085542495,38.610264993195955,No
29,8.605645179748535,3.722447633743286,5.167019844055176,2.2381129264831543,42.95223250888221,33.5445361100311,Yes
30,7.857396602630615,3.770103693008423,4.710103511810303,2.2635409832000732,42.342985617655096,40.25472638024883,No
31,8.007652282714844,3.7965822219848633,4.811922073364258,2.2790586948394775,41.675568802951624,38.88097480073873,No
32,8.468360900878906,3.8097872734069824,5.091528415679932,2.2895402908325195,43.080140578026786,36.376397258942454,No
33,8.778106689453125,3.7722084522247314,5.2955217361450195,2.27355694770813,45.22639809374146,36.69140928751944,No
34,8.274127006530762,3.7728514671325684,4.97963809967041,2.2658846378326416,43.42173408034982,37.14748675641524,No
35,8.435674667358398,3.7513651847839355,5.072469711303711,2.263535976409912,41.65889758130637,43.40751360808709,No
36,8.289254188537598,3.731959104537964,4.975777626037598,2.245514392852783,40.42994585269199,40.13599582037325,No
37,8.507953643798828,3.723994731903076,5.11508846282959,2.250924825668335,40.50960388767423,40.55834467340591,No
38,8.710111618041992,3.790212631225586,5.238943099975586,2.2723004817962646,42.45284743099207,43.45557627818818,No
39,8.987273216247559,3.694178819656372,4.885618209838867,2.222614288330078,43.60574952172725,36.70435519537325,No
40,8.538393020629883,3.6607823371887207,5.147587776184082,2.2125377655029297,41.75862172041541,36.66227643856921,No
41,8.26137638092041,3.685272693634033,4.979337215423584,2.224276542663574,37.17712745968844,33.19042513122084,Yes
42,7.957847595214844,3.6864471435546875,4.779712677001953,2.228060245513916,42.11517832741186,44.1665228907465,No
43,8.24958324432373,3.6626944541931152,4.987620830535889,2.2045950889587402,41.160409264826455,37.04116750097201,No
44,8.37392807006836,3.655785083770752,5.049293518066406,2.1969919204711914,39.046379646078165,33.771596763219286,No
45,7.592286109924316,3.6544549465179443,4.614034175872803,2.235694646835327,37.21594014758131,36.96833082231726,No
