Epoch,Training Loss,Validation Loss,Validation MAE,Best Epoch
0,10.869271187160326,0.4363922491306212,196.30644926127528,Yes
1,10.400925611413044,0.08347724705207639,53.48257678849145,Yes
2,11.375518002717392,0.034708418497225134,33.25226295198289,Yes
3,12.14086277173913,0.028279106791426496,28.73582693429238,Yes
4,12.0208740234375,0.03582225485545833,40.72232819790047,No
5,12.196689240828805,0.04290371406369093,89.33901754471229,No
6,12.405615234375,0.03688380194873345,63.26942797433904,No
7,12.493919836956522,0.027130135675755944,27.555668618779162,Yes
8,12.437227199388587,0.026977940303523365,27.869228713063762,No
9,12.4347412109375,0.02871505807085735,38.949586289852256,No
10,12.542283033288044,0.037319064140319824,76.15008383553655,No
11,12.496193529211956,0.04030936520274093,83.13863846228615,No
12,12.46322074558424,0.05686627364740139,119.96596763219284,No
13,12.621382472826086,0.06278108968967344,130.31321685458786,No
14,12.757362432065218,0.0411018860049364,84.96408437013997,No
15,12.780674677309783,0.03441736174792778,64.4386967826594,No
16,12.793250042459238,0.05698406405565215,121.61778285381027,No
17,12.969012185801631,0.05424701295247892,116.15012636080871,No
18,12.915562372622283,0.03493454979687202,68.12834734642301,No
19,12.919517450747282,0.026112466323666456,24.75372855511275,Yes
20,12.974387525475544,0.03809420655413372,77.37870577371694,No
21,13.043489937160325,0.026300831538874928,23.72533078586703,Yes
22,12.98089015794837,0.026113995691625085,24.551387235128306,No
23,12.997891898777175,0.02535340262622368,12.770049147064542,Yes
24,13.103690769361412,0.02517899652806724,11.713254367952954,Yes
25,13.041521951426631,0.031076358585822875,54.54792598172628,No
26,13.036695397418478,0.025139145734833508,11.49340478591563,Yes
27,13.064767323369566,0.025224022748993664,13.07713476866252,No
28,13.080423106317935,0.025068931463288098,11.07471918132776,Yes
29,13.05751953125,0.02510267932240556,11.3574256718993,No
30,13.014316193953805,0.031572737344881384,55.528406881804045,No
31,12.97341945482337,0.03600231031092202,73.06731143079315,No
32,13.072273055366848,0.03940043507552728,82.80989380832037,No
33,13.122712508491848,0.033249203751726845,62.31965639580093,No
34,13.172016176970109,0.02943273579202047,45.8934559681182,No
35,13.228878651494565,0.0403605786765494,84.51499927099533,No
36,13.154087763247283,0.02729845337751435,32.77791784117419,No
37,13.130695906929347,0.0382153406375792,79.27138413685847,No
38,13.196432362432065,0.03357211264168344,64.77568526438569,No
39,13.231088654891304,0.027954781927713532,39.446372594284604,No
40,13.257080078125,0.031726499883140004,56.310501312208395,No
41,13.239997664741848,0.035886092883784595,70.61124003693624,No
42,13.263200577445652,0.028406282750571648,40.543418302877136,No
43,13.262256920855979,0.029470315793665443,48.13491446345257,No
44,13.24987262228261,0.03331559169583204,63.85348221228616,No
45,13.277366041100544,0.027718607972307904,37.968607236586315,No
46,13.272818656589674,0.028437376022338867,40.21909020217729,No
47,13.302281122622283,0.03344987369165188,62.25985371306376,No
48,13.332896356997283,0.028648783520954412,41.16771663588647,No
49,13.330456012228261,0.026171879070561108,27.403898959953345,No
50,13.333729619565217,0.028085644652203815,40.49358172142302,No
51,13.334175441576088,0.025442751442513813,19.636626105657076,No
52,13.327141007133152,0.026659293872554127,28.64234119848367,No
53,13.330250084918479,0.028402078442457245,40.055118827760495,No
54,13.366930621603261,0.026604440154098883,25.966484010497666,No
55,13.204480511209239,0.025589044501141803,20.389492005248833,No
56,13.209824006453804,0.02553482753474538,19.336613348075428,No
57,13.29892578125,0.028259068000607374,39.73659846423017,No
58,13.292519743546196,0.025643124812986792,22.720838294615085,No
59,13.28230617357337,0.02503327044045053,8.846799669517885,Yes
60,13.326625127377717,0.025008006793696705,8.394884361634915,Yes
61,13.31674167798913,0.024938836330320777,8.409279166261664,No
62,13.301306683084238,0.024936109054379346,8.658205403139581,No
63,13.316230044157608,0.024982344813463165,7.890277963403966,Yes
64,13.295244565217391,0.02493224783641536,7.99927858913297,No
65,13.313731317934783,0.02492812784706674,7.7916656541601865,Yes
66,13.317404042119565,0.024932977629870904,8.206129106726284,No
67,13.315187669836957,0.02502795545066275,13.355672263802488,No
68,13.30636039402174,0.02492514470728432,7.898009969138802,No
69,13.305411430027174,0.024907167364911335,7.495397398668351,Yes
70,13.305494225543478,0.036990159895361925,75.66075160381027,No
71,13.358370838994565,0.026938679741650092,33.439122035381025,No
72,13.365381920855977,0.031259330307565086,54.321946685458784,No
73,13.3803466796875,0.03910098424771937,80.98863360225505,No
74,13.390336277173914,0.027356188471724347,34.45386615474339,No
75,13.374972401494565,0.03509989889656625,69.60169007581649,No
76,13.397177522078804,0.043717971662195716,93.59172701205287,No
77,13.403197180706522,0.03175102792135099,57.55764604393468,No
78,13.4123779296875,0.02901498282827982,44.219609618001556,No
79,13.429912533967391,0.034470066791627466,66.44994775466563,No
80,13.4074951171875,0.026219586046730598,24.913158837966563,No
81,13.400875721807065,0.03750292266287455,77.16838792768274,No
82,13.42550101902174,0.04365892526580066,93.7932785769829,No
83,13.433678668478262,0.031552692738974965,56.851149397356146,No
84,13.434056555706523,0.0280861447497112,39.243554383748055,No
85,13.45031101392663,0.03399350294252721,64.9486659214619,No
86,13.427561353600543,0.027457344822767304,34.88675823775272,No
87,13.428076171875,0.032036545799999705,59.25560118584759,No
88,13.433916440217391,0.03902007312309451,81.74225432542768,No
89,13.445797596807065,0.030214873755850444,51.54942044129083,No
90,13.454169497282608,0.028635179124227386,41.48379787130638,No
91,13.465635614809782,0.03325278293795702,63.215208252332815,No
92,13.460158372961956,0.026717601752862696,30.050708349533437,No
93,13.461105213994566,0.03114187717437744,55.59442432931571,No
